Id,lldpServiceEnabledIsError,ipSourceRoutingIsError,strongPasswordEnabledValue,aaaCommandAuthorizationIsApplicable,sshKeySizeIsApplicable,slibHost,slib,lastDataUpdateTime,snmpServiceEnabledIsError,isdeleted,ntpServerConfigurationIsApplicable,calculatedStatus,accountingConfigurationIsApplicable,ntpPeerConfigurationIsApplicable,ntpPeerConfigurationIsError,vtyLineExecTimeoutIsApplicable,authorizationConfigurationIsApplicable,remoteSyslogEnabledIsApplicable,vceSystemGeo,serialNum,authenticationStatusEnabledIsError,ipSourceRoutingIsApplicable,classification,vtyLineSessionLimitIsError,authenticationStatusEnabledIsApplicable,strongPasswordEnabledIsApplicable,vtyConsoleExecTimeoutValue,snmpReadWriteConfigurationIsError,sshKeySizeIsError,vtyLineExecTimeoutValue,absTimeToDelete,snmpReadOnlyConfigurationIsApplicable,bannerIsError,vceSystemBuilding,aaaCommandAuthorizationIsError,slibHostIp,vendor,ntpServerConfigurationIsError,systemType,memoryUtilization,ntpEnabledIsError,communicationSshEnabled,vceSystemSerialNo,snmpV3EnabledValue,switchOutOctets,isFRU,accountingConfigurationIsError,dataCenter,vceDisplayName,visionVersion,remoteSyslogEnabledIsError,modelName,firmwareRev,bannerValue,vceSystemTag,vtyLineSessionLimitValue,Label,cdpServiceEnabledIsApplicable,vceSystemModelName,sshKeySizeValue,processorUtilization,switchInOctets,authenticationConfigurationIsApplicable,ntpEnabledIsApplicable,parentRelPos,switchOutThroughput,ntpEnabledValue,authorizationConfigurationIsError,authenticationStatusEnabledValue,lldpServiceEnabledIsApplicable,snmpReadWriteConfigurationIsApplicable,containedIn,host,vtyConsoleExecTimeoutIsApplicable,softwareRev,cvmHostIp,cdpServiceEnabledValue,authenticationConfigurationIsError,cvmHost,ipAddress,snmpReadOnlyConfigurationIsError,switchInThroughput,strongPasswordEnabledIsError,fcoeServiceEnabledIsApplicable,vtyLineSessionLimitIsApplicable,hardwareRev,lastStatusChange,name,operStatus,snmpServiceEnabledValue,remoteSyslogEnabledValue,vendorType,switchType,ipSourceRoutingValue,bannerIsApplicable,vceSystemDescription,description,topComponentId,lldpServiceEnabledValue,vtyConsoleExecTimeoutIsError,unusedRouterInterfaceEnabledIsApplicable,cdpServiceEnabledIsError,accountingConfigurationValue,lastOperStatus,vtyLineExecTimeoutIsError,alias,communicationTelnetEnabled,ntpServerConfigurationValue,class,fcoeServiceEnabledIsError,authenticationConfigurationValue,snmpReadOnlyConfigurationValue,authorizationConfigurationValue,unusedRouterInterfaceEnabledIsError,assetID,communicationHttpEnabled,snmpServiceEnabledIsApplicable,time,properties,speed,adminStatus,mtu,portType,type,outputPower,ambientTempAvg,ambientTempMin,ambientTemp,inputVoltageAvg,inputVoltageMin,ambientTempMax,outputPowerAvg,outputPowerMin,outputCurrentMax,output12VoltageMax,output3VoltageAvg,output3VoltageMin,inputVoltage,outputCurrent,output3VoltageMax,power,output3Voltage,outputCurrentAvg,outputCurrentMin,inputVoltageMax,outputPowerMax,output12VoltageMin,output12VoltageAvg,output12Voltage,speedMax,speedAvg,speedMi
10.3.32.16,FALSE,FALSE,TRUE,TRUE,TRUE,hoc-vblk-vsn1.heartland.inc,TRUE,1481002028592,FALSE,false,TRUE,operable,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Dubuque IA,JPG1949013M,FALSE,FALSE,COMPONENT,FALSE,TRUE,TRUE,0.0,FALSE,FALSE,0.0,1481607271494,TRUE,FALSE,Dubuque,FALSE,10.3.32.8,Cisco Systems Inc.,FALSE,VBLOCK,0.0,FALSE,TRUE,V76FN0516001,FALSE,37574190248.0,FALSE,FALSE,datacenter1,HOC-Vblk-MDS-01.heartland.inc,3.5.0.0,FALSE,DS-C9148S-K9,6.2(17),User Access Verification,VxB540,0.0,switch,TRUE,540w10T1,1024.0,0.0,28304088600.0,TRUE,TRUE,-1,82361020.408888891,TRUE,FALSE,TRUE,FALSE,TRUE,0,hoc-vblk-vsn1.heartland.inc,TRUE,6.2(17),10.3.32.10,TRUE,FALSE,hoc-vblk-vsn2.heartland.inc,10.3.32.16,FALSE,4792508.6577777779,FALSE,FALSE,TRUE,V01,2016-12-05T05:25:11.958Z,HOC-Vblk-MDS-01.heartland.inc,operable,TRUE,TRUE,cevContainerNexusLogicalFabric,MDS9k,0,TRUE,540w10T1 V76FN0516001,MDS9000,10.3.32.16,0,FALSE,TRUE,FALSE,default: local,notApplicable,FALSE,M9A,FALSE,10.3.0.100;10.6.0.100,stack,FALSE,default: local;console: local,1398bank,pki-ssh-cert: local;pki-ssh-pubkey: local,FALSE,73-15809-01,FALSE,TRUE,1481002200000,{},na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,n
10.3.32.16-entPhysicalTable-149,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,TRUE,1481000947584,na,false,na,operable,na,na,na,na,na,na,Dubuque IA,JPG1949013M,na,na,na,na,na,na,na,na,na,na,1481605747584,na,na,Dubuque,na,10.3.32.8,Cisco Systems Inc.,na,VBLOCK,na,na,na,V76FN0516001,na,na,FALSE,na,datacenter1,10.3.32.16 MDS 9148S 16G 48 FC (1 Slot) Chassis,3.5.0.0,na,DS-C9148S-K9,na,na,VxB540,na,networkchassis,na,540w10T1,na,na,na,na,na,1,na,na,na,na,na,na,10,hoc-vblk-vsn1.heartland.inc,na,na,10.3.32.10,na,na,hoc-vblk-vsn2.heartland.inc,na,na,na,na,na,na,V01,2016-12-05T05:25:11.958Z,MDS 9148S 16G 48 FC (1 Slot) Chassis,operable,na,na,cevChassisDSC9148SK9,na,na,na,540w10T1 V76FN0516001,MDS 9148S 16G 48 FC (1 Slot) Chassis,10.3.32.16,na,na,na,na,na,notApplicable,na,na,na,na,chassis,na,na,na,na,na,73-15809-01,na,na,1480998563321,{},na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,n
10.3.32.16-entPhysicalTable-214,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,TRUE,1481000947528,na,false,na,operable,na,na,na,na,na,na,Dubuque IA,na,na,na,na,na,na,na,na,na,na,na,1481605747528,na,na,Dubuque,na,10.3.32.8,Cisco Systems,na,VBLOCK,na,na,na,V76FN0516001,na,na,FALSE,na,datacenter1,10.3.32.16 SupSlot-1,3.5.0.0,na,ModuleSlot,na,na,VxB540,na,fixedslot,na,540w10T1,na,na,na,na,na,1,na,na,na,na,na,na,149,hoc-vblk-vsn1.heartland.inc,na,na,10.3.32.10,na,na,hoc-vblk-vsn2.heartland.inc,na,na,na,na,na,na,na,2016-12-05T05:25:11.958Z,SupSlot-1,operable,na,na,cevContainerSupFabricSlot,na,na,na,540w10T1 V76FN0516001,SupSlot-1,10.3.32.16,na,na,na,na,na,notApplicable,na,na,na,na,container,na,na,na,na,na,na,na,na,1480998563321,{},na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,n
10.3.32.16-entPhysicalTable-22,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,TRUE,1481000947589,na,false,na,operable,na,na,na,na,na,na,Dubuque IA,JAE194705WQ,na,na,na,na,na,na,na,na,na,na,1481605747589,na,na,Dubuque,na,10.3.32.8,Cisco Systems Inc.,na,VBLOCK,na,na,na,V76FN0516001,na,na,TRUE,na,datacenter1,10.3.32.16 JAE194705WQ,3.5.0.0,na,DS-C9148S-K9-SUP,6.2(17),na,VxB540,na,fixedmodule,na,540w10T1,na,na,na,na,na,1,na,na,na,na,na,na,214,hoc-vblk-vsn1.heartland.inc,na,6.2(17),10.3.32.10,na,na,hoc-vblk-vsn2.heartland.inc,na,na,na,na,na,na,V01,2016-12-05T05:26:11.843Z,2/4/8/16 Gbps FC/Supervisor,operable,na,na,cevMDSDSC9148SK9SUP,na,na,na,540w10T1 V76FN0516001,2/4/8/16 Gbps FC/Supervisor,10.3.32.16,na,na,na,na,na,notApplicable,na,2/4/8/16 Gbps FC/Supervisor,na,na,module,na,na,na,na,na,73-15809-01,na,na,1480998563321,{},na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,n
10.3.32.16-entPhysicalTable-4966,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,TRUE,1481000947512,na,false,na,operable,na,na,na,na,na,na,Dubuque IA,0,na,na,na,na,na,na,na,na,na,na,1481607271591,na,na,Dubuque,na,10.3.32.8,Cisco Systems,na,VBLOCK,na,na,na,V76FN0516001,na,na,na,na,datacenter1,10.3.32.16 Supervisor-1 Port-17,3.5.0.0,na,Sup-Port,0,na,VxB540,na,Port,na,540w10T1,na,na,na,na,na,na,na,na,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,na,0,10.3.32.10,na,na,hoc-vblk-vsn2.heartland.inc,na,na,na,na,na,na,0,2016-12-05T05:26:11.843Z,Supervisor-1 Port-17,inoperable,na,na,na,na,na,na,540w10T1 V76FN0516001,Supervisor-1 Port-17,10.3.32.16,na,na,na,na,na,notApplicable,na,SUPport,na,na,na,na,na,na,na,na,na,na,na,1481002200000,{},0.0,down,2112.0,fcport,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,n
10.3.32.16-entPhysicalTable-4989,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,TRUE,1481000947499,na,false,na,operable,na,na,na,na,na,na,Dubuque IA,0,na,na,na,na,na,na,na,na,na,na,1481607271685,na,na,Dubuque,na,10.3.32.8,Cisco Systems,na,VBLOCK,na,na,na,V76FN0516001,na,na,na,na,datacenter1,10.3.32.16 Supervisor-1 Port-40,3.5.0.0,na,Sup-Port,0,na,VxB540,na,Port,na,540w10T1,na,na,na,na,na,na,na,na,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,na,0,10.3.32.10,na,na,hoc-vblk-vsn2.heartland.inc,na,na,na,na,na,na,0,2016-12-05T05:26:11.843Z,Supervisor-1 Port-40,inoperable,na,na,na,na,na,na,540w10T1 V76FN0516001,Supervisor-1 Port-40,10.3.32.16,na,na,na,na,na,notApplicable,na,SUPport,na,na,na,na,na,na,na,na,na,na,na,1481002200000,{},0.0,down,2112.0,fcport,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,n
10.3.32.16-entPhysicalTable-4968,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,TRUE,1481000947495,na,false,na,operable,na,na,na,na,na,na,Dubuque IA,0,na,na,na,na,na,na,na,na,na,na,1481607271608,na,na,Dubuque,na,10.3.32.8,Cisco Systems,na,VBLOCK,na,na,na,V76FN0516001,na,na,na,na,datacenter1,10.3.32.16 Supervisor-1 Port-19,3.5.0.0,na,Sup-Port,0,na,VxB540,na,Port,na,540w10T1,na,na,na,na,na,na,na,na,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,na,0,10.3.32.10,na,na,hoc-vblk-vsn2.heartland.inc,na,na,na,na,na,na,0,2016-12-05T05:26:11.843Z,Supervisor-1 Port-19,inoperable,na,na,na,na,na,na,540w10T1 V76FN0516001,Supervisor-1 Port-19,10.3.32.16,na,na,na,na,na,notApplicable,na,SUPport,na,na,na,na,na,na,na,na,na,na,na,1481002200000,{},0.0,down,2112.0,fcport,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,n
10.3.32.16-entPhysicalTable-4977,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,TRUE,1481000947467,na,false,na,operable,na,na,na,na,na,na,Dubuque IA,0,na,na,na,na,na,na,na,na,na,na,1481607271660,na,na,Dubuque,na,10.3.32.8,Cisco Systems,na,VBLOCK,na,na,na,V76FN0516001,na,na,na,na,datacenter1,10.3.32.16 Supervisor-1 Port-28,3.5.0.0,na,Sup-Port,0,na,VxB540,na,Port,na,540w10T1,na,na,na,na,na,na,na,na,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,na,0,10.3.32.10,na,na,hoc-vblk-vsn2.heartland.inc,na,na,na,na,na,na,0,2016-12-05T05:26:11.843Z,Supervisor-1 Port-28,inoperable,na,na,na,na,na,na,540w10T1 V76FN0516001,Supervisor-1 Port-28,10.3.32.16,na,na,na,na,na,notApplicable,na,SUPport,na,na,na,na,na,na,na,na,na,na,na,1481002200000,{},0.0,down,2112.0,fcport,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,n
10.3.32.16-entPhysicalTable-4956,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,TRUE,1481000947443,na,false,na,operable,na,na,na,na,na,na,Dubuque IA,0,na,na,na,na,na,na,na,na,na,na,1481607271875,na,na,Dubuque,na,10.3.32.8,Cisco Systems,na,VBLOCK,na,na,na,V76FN0516001,na,na,na,na,datacenter1,10.3.32.16 Supervisor-1 Port-7,3.5.0.0,na,Sup-Port,0,na,VxB540,na,Port,na,540w10T1,na,na,na,na,na,na,na,na,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,na,0,10.3.32.10,na,na,hoc-vblk-vsn2.heartland.inc,na,na,na,na,na,na,0,2016-12-05T05:26:11.843Z,Supervisor-1 Port-7,operable,na,na,na,na,na,na,540w10T1 V76FN0516001,Supervisor-1 Port-7,10.3.32.16,na,na,na,na,na,notApplicable,na,SUPport,na,na,na,na,na,na,na,na,na,na,na,1481002200000,{},4295.0,up,2112.0,fcport,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,n
10.3.32.16-entPhysicalTable-4951,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,TRUE,1481000947480,na,false,na,operable,na,na,na,na,na,na,Dubuque IA,0,na,na,na,na,na,na,na,na,na,na,1481607271849,na,na,Dubuque,na,10.3.32.8,Cisco Systems,na,VBLOCK,na,na,na,V76FN0516001,na,na,na,na,datacenter1,10.3.32.16 Supervisor-1 Port-2,3.5.0.0,na,Sup-Port,0,na,VxB540,na,Port,na,540w10T1,na,na,na,na,na,na,na,na,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,na,0,10.3.32.10,na,na,hoc-vblk-vsn2.heartland.inc,na,na,na,na,na,na,0,2016-12-05T05:26:11.843Z,Supervisor-1 Port-2,operable,na,na,na,na,na,na,540w10T1 V76FN0516001,Supervisor-1 Port-2,10.3.32.16,na,na,na,na,na,notApplicable,na,SUPport,na,na,na,na,na,na,na,na,na,na,na,1481002200000,{},4295.0,up,2112.0,fcport,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,n
10.3.32.16-entPhysicalTable-4994,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,TRUE,1481000947489,na,false,na,operable,na,na,na,na,na,na,Dubuque IA,0,na,na,na,na,na,na,na,na,na,na,1481607271701,na,na,Dubuque,na,10.3.32.8,Cisco Systems,na,VBLOCK,na,na,na,V76FN0516001,na,na,na,na,datacenter1,10.3.32.16 Supervisor-1 Port-45,3.5.0.0,na,Sup-Port,0,na,VxB540,na,Port,na,540w10T1,na,na,na,na,na,na,na,na,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,na,0,10.3.32.10,na,na,hoc-vblk-vsn2.heartland.inc,na,na,na,na,na,na,0,2016-12-05T05:26:11.843Z,Supervisor-1 Port-45,inoperable,na,na,na,na,na,na,540w10T1 V76FN0516001,Supervisor-1 Port-45,10.3.32.16,na,na,na,na,na,notApplicable,na,SUPport,na,na,na,na,na,na,na,na,na,na,na,1481002200000,{},0.0,down,2112.0,fcport,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,n
10.3.32.16-entPhysicalTable-21594,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,TRUE,1481000947520,na,false,na,operable,na,na,na,na,na,na,Dubuque IA,,na,na,na,na,na,na,na,na,na,na,1481605747520,na,na,Dubuque,na,10.3.32.8,Cisco Systems,na,VBLOCK,na,na,na,V76FN0516001,na,na,FALSE,na,datacenter1,10.3.32.16-entPhysicalTable-21594,3.5.0.0,na,,na,na,VxB540,na,networkTempSensor,na,540w10T1,na,na,na,na,na,5,na,na,na,na,na,na,22,hoc-vblk-vsn1.heartland.inc,na,na,10.3.32.10,na,na,hoc-vblk-vsn2.heartland.inc,na,na,na,na,na,na,na,na,module-1 FC-SOC1,operable,na,na,cevSensor15302701Temp,na,na,na,540w10T1 V76FN0516001,module-1 FC-SOC1,10.3.32.16,na,na,na,na,na,na,na,na,na,na,sensor,na,na,na,na,na,na,na,na,1480998563321,{},na,na,na,na,celsius,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,n
10.3.32.16-entPhysicalTable-4972,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,TRUE,1481000947487,na,false,na,operable,na,na,na,na,na,na,Dubuque IA,0,na,na,na,na,na,na,na,na,na,na,1481607271651,na,na,Dubuque,na,10.3.32.8,Cisco Systems,na,VBLOCK,na,na,na,V76FN0516001,na,na,na,na,datacenter1,10.3.32.16 Supervisor-1 Port-23,3.5.0.0,na,Sup-Port,0,na,VxB540,na,Port,na,540w10T1,na,na,na,na,na,na,na,na,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,na,0,10.3.32.10,na,na,hoc-vblk-vsn2.heartland.inc,na,na,na,na,na,na,0,2016-12-05T05:26:11.843Z,Supervisor-1 Port-23,inoperable,na,na,na,na,na,na,540w10T1 V76FN0516001,Supervisor-1 Port-23,10.3.32.16,na,na,na,na,na,notApplicable,na,SUPport,na,na,na,na,na,na,na,na,na,na,na,1481002200000,{},0.0,down,2112.0,fcport,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,n
10.3.32.16-entPhysicalTable-4962,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,TRUE,1481000947429,na,false,na,operable,na,na,na,na,na,na,Dubuque IA,0,na,na,na,na,na,na,na,na,na,na,1481607272048,na,na,Dubuque,na,10.3.32.8,Cisco Systems,na,VBLOCK,na,na,na,V76FN0516001,na,na,na,na,datacenter1,10.3.32.16 Supervisor-1 Port-13,3.5.0.0,na,Sup-Port,0,na,VxB540,na,Port,na,540w10T1,na,na,na,na,na,na,na,na,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,na,0,10.3.32.10,na,na,hoc-vblk-vsn2.heartland.inc,na,na,na,na,na,na,0,2016-12-05T05:26:11.843Z,Supervisor-1 Port-13,operable,na,na,na,na,na,na,540w10T1 V76FN0516001,Supervisor-1 Port-13,10.3.32.16,na,na,na,na,na,notApplicable,na,SUPport,na,na,na,na,na,na,na,na,na,na,na,1481002200000,{},4295.0,up,2112.0,fcport,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,n
10.3.32.16-entPhysicalTable-4984,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,TRUE,1481000947431,na,false,na,operable,na,na,na,na,na,na,Dubuque IA,0,na,na,na,na,na,na,na,na,na,na,1481607271677,na,na,Dubuque,na,10.3.32.8,Cisco Systems,na,VBLOCK,na,na,na,V76FN0516001,na,na,na,na,datacenter1,10.3.32.16 Supervisor-1 Port-35,3.5.0.0,na,Sup-Port,0,na,VxB540,na,Port,na,540w10T1,na,na,na,na,na,na,na,na,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,na,0,10.3.32.10,na,na,hoc-vblk-vsn2.heartland.inc,na,na,na,na,na,na,0,2016-12-05T05:26:11.843Z,Supervisor-1 Port-35,inoperable,na,na,na,na,na,na,540w10T1 V76FN0516001,Supervisor-1 Port-35,10.3.32.16,na,na,na,na,na,notApplicable,na,SUPport,na,na,na,na,na,na,na,na,na,na,na,1481002200000,{},0.0,down,2112.0,fcport,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,n
10.3.32.16-entPhysicalTable-4950,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,TRUE,1481000947485,na,false,na,operable,na,na,na,na,na,na,Dubuque IA,0,na,na,na,na,na,na,na,na,na,na,1481607272038,na,na,Dubuque,na,10.3.32.8,Cisco Systems,na,VBLOCK,na,na,na,V76FN0516001,na,na,na,na,datacenter1,10.3.32.16 Supervisor-1 Port-1,3.5.0.0,na,Sup-Port,0,na,VxB540,na,Port,na,540w10T1,na,na,na,na,na,na,na,na,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,na,0,10.3.32.10,na,na,hoc-vblk-vsn2.heartland.inc,na,na,na,na,na,na,0,2016-12-05T05:26:11.843Z,Supervisor-1 Port-1,operable,na,na,na,na,na,na,540w10T1 V76FN0516001,Supervisor-1 Port-1,10.3.32.16,na,na,na,na,na,notApplicable,na,SUPport,na,na,na,na,na,na,na,na,na,na,na,1481002200000,{},4295.0,up,2112.0,fcport,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,n
10.3.32.16-entPhysicalTable-4965,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,TRUE,1481000947516,na,false,na,operable,na,na,na,na,na,na,Dubuque IA,0,na,na,na,na,na,na,na,na,na,na,1481607271589,na,na,Dubuque,na,10.3.32.8,Cisco Systems,na,VBLOCK,na,na,na,V76FN0516001,na,na,na,na,datacenter1,10.3.32.16 Supervisor-1 Port-16,3.5.0.0,na,Sup-Port,0,na,VxB540,na,Port,na,540w10T1,na,na,na,na,na,na,na,na,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,na,0,10.3.32.10,na,na,hoc-vblk-vsn2.heartland.inc,na,na,na,na,na,na,0,2016-12-05T05:26:11.843Z,Supervisor-1 Port-16,inoperable,na,na,na,na,na,na,540w10T1 V76FN0516001,Supervisor-1 Port-16,10.3.32.16,na,na,na,na,na,notApplicable,na,SUPport,na,na,na,na,na,na,na,na,na,na,na,1481002200000,{},0.0,down,2112.0,fcport,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,n
10.3.32.16-entPhysicalTable-4987,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,TRUE,1481000947518,na,false,na,operable,na,na,na,na,na,na,Dubuque IA,0,na,na,na,na,na,na,na,na,na,na,1481607271682,na,na,Dubuque,na,10.3.32.8,Cisco Systems,na,VBLOCK,na,na,na,V76FN0516001,na,na,na,na,datacenter1,10.3.32.16 Supervisor-1 Port-38,3.5.0.0,na,Sup-Port,0,na,VxB540,na,Port,na,540w10T1,na,na,na,na,na,na,na,na,na,na,na,na,na,hoc-vblk-vsn1.heartland.inc,na,0,10.3.32.10,na,na,hoc-vblk-vsn2.heartland.inc,na,na,na,na,na,na,0,2016-12-05T05:26:11.843Z,Supervisor-1 Port-38,inoperable,na,na,na,na,na,na,540w10T1 V76FN0516001,Supervisor-1 Port-38,10.3.32.16,na,na,na,na,na,notApplicable,na,SUPport,na,na,na,na,na,na,na,na,na,na,na,1481002200000,{},0.0,down,2112.0,fcport,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,n
